City,Cases,Deaths,Recovered,ReportDate
OKLAHOMA CITY,4546,68,3347,2020-07-16
TULSA,4023,61,3178,2020-07-16
EDMOND,918,10,714,2020-07-16
BROKEN ARROW,855,16,642,2020-07-16
GUYMON,838,6,828,2020-07-16
NORMAN,806,23,625,2020-07-16
JENKS,460,0,432,2020-07-16
LAWTON,456,8,358,2020-07-16
STILLWATER,418,1,390,2020-07-16
OTHER***,399,4,304,2020-07-16
BARTLESVILLE,393,37,333,2020-07-16
MOORE,367,9,290,2020-07-16
YUKON,331,1,241,2020-07-16
BROKEN BOW,301,10,240,2020-07-16
CLAREMORE,227,7,154,2020-07-16
IDABEL,216,2,165,2020-07-16
OWASSO,198,2,152,2020-07-16
ARDMORE,171,1,136,2020-07-16
BIXBY,170,1,136,2020-07-16
GLENPOOL,169,0,149,2020-07-16
MUSKOGEE,168,11,101,2020-07-16
CHICKASHA,164,4,116,2020-07-16
ALTUS,157,3,43,2020-07-16
BETHANY,144,1,109,2020-07-16
ENID,132,2,97,2020-07-16
SKIATOOK,130,7,110,2020-07-16
GROVE,130,16,97,2020-07-16
SHAWNEE,128,4,91,2020-07-16
PONCA CITY,125,7,99,2020-07-16
DURANT,123,0,80,2020-07-16
MIAMI,123,2,80,2020-07-16
PURCELL,123,3,109,2020-07-16
COWETA,116,13,89,2020-07-16
HUGO,115,1,103,2020-07-16
SAPULPA,108,3,88,2020-07-16
SAND SPRINGS,106,2,87,2020-07-16
TAHLEQUAH,101,1,85,2020-07-16
COLLINSVILLE,101,1,81,2020-07-16
MUSTANG,100,1,76,2020-07-16
EL RENO,95,1,66,2020-07-16
HOOKER,91,0,91,2020-07-16
HINTON,90,0,89,2020-07-16
STILWELL,88,4,64,2020-07-16
BLANCHARD,84,0,65,2020-07-16
CHOCTAW,81,2,62,2020-07-16
OKMULGEE,78,0,46,2020-07-16
WAGONER,74,4,60,2020-07-16
ADA,72,0,48,2020-07-16
MANGUM,68,7,57,2020-07-16
DUNCAN,67,0,53,2020-07-16
PAULS VALLEY,66,1,54,2020-07-16
MIDWEST CITY,66,2,47,2020-07-16
GUTHRIE,66,0,43,2020-07-16
JAY,64,0,48,2020-07-16
HENRYETTA,61,0,19,2020-07-16
TUTTLE,59,1,48,2020-07-16
NEWCASTLE,57,1,37,2020-07-16
CHECOTAH,52,1,39,2020-07-16
MCALESTER,52,3,43,2020-07-16
WARR ACRES,51,0,38,2020-07-16
WEATHERFORD,49,0,44,2020-07-16
NOBLE,49,1,39,2020-07-16
PRYOR CREEK,48,1,30,2020-07-16
LEXINGTON,46,0,32,2020-07-16
PIEDMONT,45,0,33,2020-07-16
WESTVILLE,44,0,40,2020-07-16
CUSHING,44,1,27,2020-07-16
SPENCER,44,1,28,2020-07-16
BINGER,43,9,33,2020-07-16
DEL CITY,43,0,27,2020-07-16
CLEVELAND,43,3,37,2020-07-16
SEMINOLE,42,2,20,2020-07-16
LINDSAY,41,1,27,2020-07-16
ANADARKO,40,1,30,2020-07-16
CLINTON,40,0,25,2020-07-16
WRIGHT CITY,39,0,30,2020-07-16
NICHOLS HILLS,38,0,32,2020-07-16
EUFAULA,37,0,32,2020-07-16
VALLIANT,36,0,27,2020-07-16
LOCUST GROVE,35,0,23,2020-07-16
DEWEY,35,1,34,2020-07-16
HOMINY,34,0,27,2020-07-16
CATOOSA,33,0,21,2020-07-16
SPERRY,33,1,23,2020-07-16
ATOKA,33,0,24,2020-07-16
MARIETTA,33,0,32,2020-07-16
COMMERCE,33,0,22,2020-07-16
COLCORD,31,0,24,2020-07-16
KELLYVILLE,30,2,27,2020-07-16
HAWORTH,29,0,22,2020-07-16
FORT GIBSON,29,2,12,2020-07-16
WEWOKA,29,0,19,2020-07-16
CHOUTEAU,29,3,19,2020-07-16
TEXHOMA,29,0,28,2020-07-16
SALINA,28,1,13,2020-07-16
MOUNDS,28,1,19,2020-07-16
SALLISAW,28,0,25,2020-07-16
VINITA,28,0,20,2020-07-16
JONES,27,0,16,2020-07-16
INOLA,27,0,19,2020-07-16
MADILL,27,0,21,2020-07-16
FREDERICK,26,1,23,2020-07-16
HARRAH,24,0,22,2020-07-16
NOWATA,24,1,21,2020-07-16
AFTON,24,0,18,2020-07-16
KINGFISHER,24,0,13,2020-07-16
MULDROW,24,1,19,2020-07-16
MCLOUD,23,0,20,2020-07-16
PERKINS,23,0,18,2020-07-16
RED ROCK,23,1,21,2020-07-16
ELK CITY,22,0,12,2020-07-16
WASHINGTON,22,0,19,2020-07-16
OCHELATA,22,1,20,2020-07-16
KINGSTON,22,0,18,2020-07-16
COMANCHE,21,1,11,2020-07-16
PAWNEE,21,0,16,2020-07-16
SULPHUR,21,0,20,2020-07-16
MORRIS,20,0,9,2020-07-16
HASKELL,20,0,17,2020-07-16
OOLOGAH,20,0,15,2020-07-16
PERRY,19,0,13,2020-07-16
TECUMSEH,18,0,11,2020-07-16
BEGGS,18,0,13,2020-07-16
CALERA,18,0,12,2020-07-16
MANNFORD,17,0,12,2020-07-16
TYRONE,17,0,15,2020-07-16
COLBERT,17,0,12,2020-07-16
TALIHINA,17,1,3,2020-07-16
ELGIN,17,0,13,2020-07-16
MARLOW,17,0,10,2020-07-16
BRISTOW,16,1,10,2020-07-16
CHELSEA,16,0,10,2020-07-16
OKARCHE,15,0,11,2020-07-16
MAYSVILLE,15,0,11,2020-07-16
BARNSDALL,15,2,8,2020-07-16
WATTS,15,0,15,2020-07-16
PAWHUSKA,15,0,14,2020-07-16
KIEFER,14,0,9,2020-07-16
CHANDLER,14,1,11,2020-07-16
HENNESSEY,14,0,11,2020-07-16
WAYNE,14,0,11,2020-07-16
WILBURTON,14,1,9,2020-07-16
