Zip,Cases,Deaths,Recovered,ReportDate
73099,4076,13,3437,2020-12-06
74012,3599,40,3046,2020-12-06
73160,3012,18,2429,2020-12-06
Other***,2787,29,2363,2020-12-06
73072,2778,20,2357,2020-12-06
73013,2610,27,2184,2020-12-06
74133,2464,21,2105,2020-12-06
73170,2444,27,1968,2020-12-06
73119,2366,29,2017,2020-12-06
74055,2337,6,1935,2020-12-06
73034,2232,9,1877,2020-12-06
73071,2227,36,1861,2020-12-06
74014,2199,14,1848,2020-12-06
73159,1997,7,1660,2020-12-06
73703,1987,12,1690,2020-12-06
74074,1942,8,1761,2020-12-06
73942,1911,13,1767,2020-12-06
73505,1908,14,1554,2020-12-06
73701,1829,23,1601,2020-12-06
73120,1814,25,1520,2020-12-06
74820,1807,10,1505,2020-12-06
73012,1787,6,1517,2020-12-06
74464,1773,6,1464,2020-12-06
74701,1744,13,1504,2020-12-06
74136,1725,24,1494,2020-12-06
73521,1707,33,1482,2020-12-06
73069,1705,10,1489,2020-12-06
74017,1691,51,1373,2020-12-06
73109,1641,10,1423,2020-12-06
74011,1610,11,1364,2020-12-06
74008,1579,8,1333,2020-12-06
74137,1550,9,1337,2020-12-06
73107,1540,8,1321,2020-12-06
73112,1473,16,1244,2020-12-06
74037,1473,12,1302,2020-12-06
74403,1471,16,1166,2020-12-06
73036,1463,9,1286,2020-12-06
74463,1462,2,1303,2020-12-06
74063,1459,12,1206,2020-12-06
73162,1453,18,1196,2020-12-06
73401,1417,11,1193,2020-12-06
73110,1408,14,1097,2020-12-06
74134,1386,7,1179,2020-12-06
74501,1380,16,1230,2020-12-06
74006,1376,35,1161,2020-12-06
74066,1356,20,1155,2020-12-06
73129,1343,12,1130,2020-12-06
73132,1327,10,1119,2020-12-06
73018,1324,13,1097,2020-12-06
73127,1305,6,1115,2020-12-06
73064,1297,9,1112,2020-12-06
74804,1277,13,1058,2020-12-06
74105,1220,11,1070,2020-12-06
73533,1217,10,972,2020-12-06
74115,1190,12,1048,2020-12-06
74075,1171,3,1036,2020-12-06
